time_ni,acel_ni
47.945,-6.767441277
47.955,-6.571350202
47.965,-5.943659126
47.975,-5.23766805
47.985,-4.217776974
47.995,-2.962485898
48.005,-1.746494822
48.015,-0.491203747
48.025,1.548487329
48.035,1.862278405
48.045,4.529769481
48.055,5.549560557
48.065,5.941851632
48.075,6.294942708
48.085,6.412533784
48.095,5.82412486
48.105,5.784915936
48.115,5.588807011
48.125,5.274998087
48.135,4.725789163
48.145,3.941280239
48.155,2.725171315
48.165,2.058362391
48.175,1.116853466
48.185,-0.373755458
48.195,-1.746664382
48.205,-2.884273306
48.215,-4.06108223
48.225,-5.041691155
48.235,-5.826300079
48.245,-6.336209003
48.255,-6.924617927
48.265,-7.042326851
48.275,-6.806935776
48.285,-6.4147447
48.295,-5.747853624
48.305,-5.198662548
48.315,-4.335771472
48.325,-3.276580397
48.335,-2.256689321
48.345,-1.079898245
48.355,4.686392831
48.365,-0.217016093
48.375,1.273674983
48.385,3.784166058
48.395,5.000157134
48.405,5.31394821
48.415,5.353139286
48.425,6.333830362
48.435,5.941521437
48.445,5.235412513
48.455,5.274703589
48.465,4.843194665
48.475,4.411685741
48.485,3.666376816
48.495,2.842567892
48.505,2.097258968
48.515,1.038150044
48.525,-0.06025888
48.535,-1.315467805
48.545,-2.806076729
48.555,-3.865185653
48.565,-4.610494577
48.575,-5.434303501
48.585,-5.787312425
48.595,-6.14042135
48.605,-6.454230274
48.615,-6.336539198
48.625,-6.218848122
48.635,-5.865857046
48.645,-5.198965971
48.655,-4.414474895
48.665,-3.433783819
48.675,-2.296292743
48.685,-1.158701667
48.695,3.038489408
48.705,0.174980484
48.715,0.88107156
48.725,2.960062636
48.735,4.293753712
48.745,5.039044787
48.755,5.588235863
48.765,6.058926939
48.775,6.058918015
48.785,5.980409091
48.795,5.274400167
48.805,5.156691242
48.815,4.960582318
48.825,4.529073394
48.835,3.23456447
48.845,2.410755546
48.855,1.390846621
48.865,0.527837697
48.875,-0.570471227
48.885,-1.904180151
48.895,-3.159489075
48.905,-4.061698
48.915,-4.963906924
48.925,-5.787615848
48.935,-6.179924772
48.945,-6.611433696
48.955,-6.454542621
48.965,-6.023051545
48.975,-5.787660469
48.985,-5.238569393
48.995,-4.297078317
49.005,-3.394887241
49.015,-2.374996166
49.025,-1.15900509
49.035,-0.021414014
49.045,1.037677062
49.055,2.135968138
49.065,3.783559213
49.075,2.998950289
49.085,4.724941365
49.095,4.881832441
49.105,5.431023517
49.115,5.744814592
49.125,5.195605668
49.135,4.999496744
49.145,4.99948782
49.155,4.685678896
49.165,4.332569972
49.175,3.665761047
49.185,2.881152123
49.195,2.175143199
49.205,1.429834275
49.215,0.213725351
49.225,-0.884583574
49.235,-3.316692498
49.245,-4.218901422
49.255,-5.160310346
49.265,-5.63101927
49.275,-6.101828195
49.285,-6.454837119
49.295,-6.337146043
49.305,-6.180254967
49.315,-5.748763891
49.325,-5.356472816
49.335,-4.57198174
49.345,-3.787490664
49.355,-2.806799588
49.365,-1.826208512
49.375,-0.845517436
49.385,0.174373639
49.395,3.312464715
49.405,0.919655791
49.415,2.488746867
49.425,3.861637943
49.435,5.273829018
49.445,5.548320094
49.455,6.21521117
49.465,6.254402246
49.475,5.862193322
49.485,5.273784397
49.495,5.077575473
49.505,4.881466549
